Method_Description,huc2,Algorithms,R_Squared,Slope,Intercept,P_Value,CV_R_Squared,RMSE,MAE,freq
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",7,WQ_Value_NDCI,0.015770997,12.6861039,8.110821477,0.246452193,0.052028321,6.859567266,5.533196121,87
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",8,WQ_Value_log_NDCI,0.314723542,3.117591468,1.80354653,0.000683187,0.345808075,1.01449834,0.754047149,33
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",9,WQ_Value_B4,0.201684684,0.083879314,0.528274586,0.009926786,0.255126405,46.56531746,28.67408003,32
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",10,WQ_Value_MCI,0.628740653,0.260400872,28.87395223,1.12E-23,0.586602658,63.82313415,36.91110392,104
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",10,WQ_Value_MCI,0.115253023,0.004732505,2.795641453,0.000815643,0.157013628,4.130736214,2.929130997,94
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",10,WQ_Value_ThreeBDA,0.134988655,-0.016999827,5.632149329,0.000269726,0.185381589,16.18543691,11.70072393,94
"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",10,WQ_Value_log_NDCI,0.312733326,7.242346307,-0.654094731,4.67E-09,0.363397954,1.261213099,0.81116457,94
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",10,WQ_Value_MCI,0.266851449,0.005153511,1.531772308,9.83E-08,0.37087713,2.669861665,1.343115417,94
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",11,WQ_Value_log_NDCI,0.206192785,3.551490832,2.045149708,4.29E-06,0.218829318,0.71817105,0.595799904,94
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",11,WQ_Value_log_ThreeBDA,0.168275674,0.000652541,0.922077621,0.041679915,0.235006986,0.716435631,0.597455092,25
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",11,WQ_Value_ThreeBDA,0.142434869,0.004740169,11.28418071,0.06904729,0.271108035,5.645634502,4.47460123,24
"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",11,WQ_Value_TwoBDA,0.094334154,0.786388511,-0.258411282,0.135321624,0.1506877,0.331497828,0.250436762,25
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",11,WQ_Value_log_NDCI,0.087108734,2.658654922,-0.763901913,0.152059538,0.145201895,0.64735362,0.559733524,25
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",12,WQ_Value_log_NDCI,0.594655823,9.338579331,2.57373107,4.07E-22,0.608053185,0.605076495,0.454526418,106
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",12,WQ_Value_TwoBDA,0.357243107,7.755506438,-4.893631892,6.51E-11,0.360752162,1.749317353,1.403726802,99
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",12,WQ_Value_TwoBDA,0.288929512,28.39534519,-16.14963516,9.65E-09,0.291530588,7.415147935,6.038235363,99
"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",12,WQ_Value_TwoBDA,0.570043944,4.324364006,-3.408863272,1.50E-18,0.580369986,0.638129762,0.474736989,94
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",12,WQ_Value_TwoBDA,0.480916176,4.524821501,-3.519518756,2.49E-15,0.493552247,0.778906196,0.562126327,98
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",14,WQ_Value_log_NDCI,0.182313642,8.596590964,1.74602229,0.053550497,0.46147758,1.339165759,1.016619949,21
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",16,WQ_Value_MCI,0.769262696,0.179645028,52.69478858,3.80E-06,0.787352001,7.049221668,5.585754366,17
"Chlorophyll a, water, fluorometric method, corrected, micrograms per liter",16,WQ_Value_log_NDCI,0.016048539,1.847706971,2.498785963,0.322481317,0.090081924,1.39293019,1.107207851,63
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",16,WQ_Value_log_B4,0.170299292,-0.003969681,-0.059350813,0.026096382,0.348132832,1.538594239,1.115166786,29
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",16,WQ_Value_NDCI,0.73789112,8.662609447,1.661668202,1.33E-12,0.758101939,0.954111706,0.779727004,40
"Phycocyanins, water, filtered, recoverable, micrograms per liter",16,WQ_Value_log_NDCI,0.525861409,6.233735594,2.69894983,1.23E-06,0.557564666,1.150115982,1.010174419,34
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",17,WQ_Value_log_B5,0.75981866,0.002936919,0.278421252,1.06E-12,0.781006268,0.790452478,0.578211864,38
"Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material, micrograms per liter as chlorophyll",17,WQ_Value_log_MCI,0.440260038,0.003379242,3.248451322,0.000219809,0.530566445,0.311126816,0.223757344,26
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",17,WQ_Value_log_MCI,0.377784246,0.0030796,1.66723941,0.000834956,0.473875438,0.325168269,0.228482414,26
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",18,WQ_Value_log_NDCI,0.631944636,6.372183727,2.223116963,2.43E-142,0.633321437,1.080233143,0.854845719,648
"Chlorophyll a, phytoplankton, water, filtered (5 micron filter), chromatographic-fluorometric method, micrograms per liter",18,WQ_Value_log_NDCI,0.252465127,2.885512087,1.174239321,0.08013394,0.573150391,4.441242705,2.774013989,13
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",18,WQ_Value_log_NDCI,0.172566194,2.349035138,0.128089464,2.74E-07,0.187882548,0.974455891,0.758003633,142
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",18,WQ_Value_MCI,0.772169367,0.001488238,0.297567981,7.67E-05,0.681306672,0.061381029,0.052657574,13
"Phycocyanins (cyanobacteria), water, in situ, in vivo fluorescence, in vivo fluorescence units",18,WQ_Value_log_NDCI,0.288538917,2.921678432,-0.304308153,3.18E-35,0.291189804,0.980126458,0.770173507,453
