,OID_,X,Site_ID,Date,Latitude,Longitude,Parameter,WQ_Value,Units,Method_Description,B2,B3,B4,B5,B6,B7,SCL,NDCI,TwoBDA,MCI,ThreeBDA,NDCI_alt,TwoBDA_alt,MCI_alt,ThreeBDA_a,areasqkm,huc2,region
42,168,2379,NWIS_1194798,9/14/2020,41.309,-72.349,Chl,8.1,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",245,452,401,456,574,635,6,0.064177363,1.137157107,144.96,-573.9996992,-0.05978898,0.887168142,-48.12,-456.0002814,198829.02,1,New England Region
43,184,3992,NWIS_1670257,9/2/2020,38.12851944,-77.8514111,Chl,22.3,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",526,568,400,428,389,468,6,0.033816425,1.07,22.28,-388.9998364,-0.173553719,0.704225352,-268.8,-428.0007394,276482.71,2,Mid Atlantic Region
44,211,4530,NWIS_209684980,12/14/2021,35.95,-79.2411111,Chl,6,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",53,206,178,106,2,46,6,-0.253521127,0.595505618,-163.52,-2.003815985,-0.072916667,0.86407767,-100,-106.0007636,739946.4,3,South Atlantic-Gulf Region
45,215,4553,NWIS_209699999,10/5/2021,35.70527778,-79.0844444,Chl,45.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",247,346,218,291,139,129,6,0.143418468,1.334862385,31.92,-138.9988493,-0.226950355,0.630057803,-167.6,-291.001697,739946.4,3,South Atlantic-Gulf Region
46,216,4586,NWIS_209768310,4/4/2019,35.79888889,-79.0058333,Chl,49.3,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",334,458,332,420,201,195,6,0.117021277,1.265060241,19.88,-200.9993689,-0.159493671,0.72489083,-153.36,-420.0008286,739946.4,3,South Atlantic-Gulf Region
47,217,4592,NWIS_209768310,4/28/2020,35.79888889,-79.0058333,Chl,54.9,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",347,439,344,452,294,292,6,0.135678392,1.313953488,82,-293.9993054,-0.121328225,0.783599089,-85.64,-452.0006291,739946.4,3,South Atlantic-Gulf Region
48,218,4599,NWIS_209768310,6/17/2021,35.79888889,-79.0058333,Chl,85,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",790,911,855,997,826,779,6,0.076673866,1.166081871,126.92,-825.9998334,-0.031710079,0.938529089,5.92,-997.0000719,739946.4,3,South Atlantic-Gulf Region
49,219,4601,NWIS_209768310,10/5/2021,35.79888889,-79.0058333,Chl,63.5,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",222,296,197,262,114,106,6,0.1416122,1.329949239,21.84,-113.9987407,-0.200811359,0.665540541,-123.48,-262.0016978,739946.4,3,South Atlantic-Gulf Region
50,220,4678,NWIS_209799150,4/4/2019,35.74166667,-79.0191667,Chl,33.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",279,361,272,315,176,156,6,0.073253833,1.158088235,-6.92,-175.9994981,-0.140600316,0.753462604,-122.12,-315.0009064,739946.4,3,South Atlantic-Gulf Region
51,223,4691,NWIS_209799150,6/17/2021,35.74166667,-79.0191667,Chl,25.4,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1033,1156,1089,1141,1031,1037,6,0.023318386,1.04775023,21.84,-1030.999958,-0.029844098,0.942041522,-77.8,-1141.000053,739946.4,3,South Atlantic-Gulf Region
52,224,4702,NWIS_209801100,4/4/2019,35.7275,-79.0427778,Chl,17.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",331,438,343,357,159,160,6,0.02,1.040816327,-81.68,-158.9998857,-0.121638924,0.783105023,-153.32,-357.0006323,739946.4,3,South Atlantic-Gulf Region
53,225,4710,NWIS_209801100,8/11/2020,35.7275,-79.0427778,Chl,24.7,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",462,533,445,489,495,519,6,0.047109208,1.098876404,70,-494.9997978,-0.08997955,0.834896811,-119.68,-489.000371,739946.4,3,South Atlantic-Gulf Region
54,227,4715,NWIS_209801100,6/17/2021,35.7275,-79.0427778,Chl,21.8,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",936,1038,975,1008,913,885,6,0.016641452,1.033846154,0.76,-912.9999664,-0.031296572,0.939306358,-84.6,-1008.000062,739946.4,3,South Atlantic-Gulf Region
55,232,4977,NWIS_264608000000000,6/22/2021,26.76917778,-81.435975,Chl,55.8,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1346,1294,1267,1313,1063,944,6,0.017829457,1.036306235,-60.08,-1062.999972,-0.010542757,0.979134467,-13.32,-1313.000016,739946.4,3,South Atlantic-Gulf Region
56,241,5042,NWIS_265325000000000,8/22/2019,26.8903,-80.7227,Chl,16.3,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",668,602,583,651,544,565,6,0.055105348,1.116638079,47.72,-543.9998208,-0.016033755,0.968438538,16.28,-651.0000541,739946.4,3,South Atlantic-Gulf Region
57,247,5116,NWIS_292800000000000,7/17/2019,29.46666667,-90.1,Chl,14,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1392,1414,1352,1453,1281,1223,6,0.03600713,1.074704142,64.08,-1280.999949,-0.02241504,0.956152758,-33.92,-1453.000032,276037.73,8,Lower Mississippi Region
58,255,5140,NWIS_294607000000000,9/30/2020,29.76856667,-95.0742028,Chl,12.6,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",603,880,740,697,278,282,6,-0.029923452,0.941891892,-283.24,-278.0000834,-0.086419753,0.840909091,-271.76,-697.000215,474542.91,12,Texas-Gulf Region
59,256,5145,NWIS_294607000000000,3/19/2021,29.76856667,-95.0742028,Chl,6.9,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",688,1000,746,674,269,283,6,-0.050704225,0.903485255,-320.04,-269.0001432,-0.145475372,0.746,-488.72,-674.0003405,474542.91,12,Texas-Gulf Region
60,258,5151,NWIS_294607000000000,9/23/2021,29.76856667,-95.0742028,Chl,5.9,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",484,795,624,570,233,232,6,-0.045226131,0.913461538,-257.32,-233.0001518,-0.1205074,0.78490566,-333,-570.0003447,474542.91,12,Texas-Gulf Region
61,261,5249,NWIS_295826000000000,10/9/2019,29.97393333,-95.1393833,Chl,24.5,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",713,852,702,895,450,461,6,0.120851597,1.274928775,61.96,-449.9996928,-0.096525097,0.823943662,-119.04,-895.0002508,474542.91,12,Texas-Gulf Region
62,262,5256,NWIS_295826000000000,9/30/2020,29.97393333,-95.1393833,Chl,52.3,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",401,600,429,594,231,245,6,0.161290323,1.384615385,62.04,-230.9993525,-0.166180758,0.715,-175.32,-594.0006643,474542.91,12,Texas-Gulf Region
63,263,5259,NWIS_295826000000000,12/17/2020,29.97393333,-95.1393833,Chl,39.5,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",276,482,311,399,149,121,6,0.123943662,1.282958199,3.76,-148.9992908,-0.215636822,0.645228216,-230.76,-399.0011407,474542.91,12,Texas-Gulf Region
64,264,5260,NWIS_295826000000000,1/26/2021,29.97393333,-95.1393833,Chl,20.7,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",915,1110,1100,1143,742,781,6,0.019170753,1.039090909,-143.16,-741.9999658,-0.004524887,0.990990991,13.76,-1143.000008,474542.91,12,Texas-Gulf Region
65,265,5264,NWIS_295826000000000,6/2/2021,29.97393333,-95.1393833,Chl,7,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",365,432,456,587,296,304,6,0.125599233,1.287280702,47.8,-295.9995106,0.027027027,1.055555556,135.6,-586.9998782,474542.91,12,Texas-Gulf Region
66,266,5267,NWIS_295826000000000,8/24/2021,29.97393333,-95.1393833,Chl,34.7,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",548,619,493,581,444,408,6,0.081936685,1.178498986,62.52,-443.9996928,-0.113309353,0.79644588,-153.36,-581.0004129,474542.91,12,Texas-Gulf Region
67,267,5270,NWIS_295826000000000,11/29/2021,29.97393333,-95.1393833,Chl,26.8,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",302,529,340,413,149,122,6,0.096945551,1.214705882,-26.32,-148.9994801,-0.217491369,0.642722117,-272.52,-413.0010508,474542.91,12,Texas-Gulf Region
68,269,5346,NWIS_300722000000000,5/13/2019,30.12277778,-89.2502778,Chl,22.8,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",787,959,962,1022,658,662,6,0.030241935,1.062370062,-98.08,-657.999939,0.001561687,1.003128259,48.36,-1021.999997,739946.4,3,South Atlantic-Gulf Region
69,270,5348,NWIS_300722000000000,8/6/2019,30.12277778,-89.2502778,Chl,38.3,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",548,687,529,602,341,342,6,0.064544651,1.137996219,-24.76,-340.9997708,-0.129934211,0.770014556,-219.2,-602.0004348,739946.4,3,South Atlantic-Gulf Region
70,271,5352,NWIS_300722000000000,7/21/2020,30.12277778,-89.2502778,Chl,21.8,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",745,881,775,826,536,539,6,0.031855091,1.065806452,-73.28,-535.9999203,-0.064009662,0.879682179,-145.6,-826.0001552,739946.4,3,South Atlantic-Gulf Region
71,273,5396,NWIS_301104000000000,7/21/2020,30.19083333,-89.4222222,Chl,17,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",904,1041,914,950,712,719,6,0.019313305,1.039387309,-69.04,-711.9999585,-0.064961637,0.878001921,-192.52,-950.0001335,739946.4,3,South Atlantic-Gulf Region
72,274,5423,NWIS_301258000000000,6/27/2019,30.2161111,-88.4997222,Chl,28.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",402,544,445,460,380,401,6,0.016574586,1.033707865,-18.8,-379.9999267,-0.100101112,0.818014706,-159.48,-460.000409,739946.4,3,South Atlantic-Gulf Region
73,275,5439,NWIS_301424000000000,6/27/2019,30.24,-88.6661111,Chl,14.9,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",326,455,380,398,314,293,6,0.023136247,1.047368421,-16.32,-313.999881,-0.089820359,0.835164835,-116.04,-398.0004338,739946.4,3,South Atlantic-Gulf Region
74,276,5441,NWIS_301429000000000,5/13/2019,30.23825405,-89.24281939,Chl,7.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",842,1021,1080,1114,634,632,6,0.015496809,1.031481481,-197.92,-633.9999717,0.028081866,1.057786484,125.96,-1113.999946,739946.4,3,South Atlantic-Gulf Region
75,277,5443,NWIS_301429000000000,8/6/2019,30.23825405,-89.24281939,Chl,28.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",491,566,424,447,315,323,6,0.026406429,1.054245283,-33.68,-314.9998786,-0.143434343,0.749116608,-227.68,-447.0005917,739946.4,3,South Atlantic-Gulf Region
76,278,5469,NWIS_301527000000000,6/27/2019,30.25444444,-88.86888889,Chl,40.6,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",317,439,363,408,297,302,6,0.058365759,1.123966942,10.68,-296.9996962,-0.094763092,0.826879271,-98.32,-408.0004769,739946.4,3,South Atlantic-Gulf Region
77,300,5582,NWIS_312330000000000,3/14/2019,31.39186944,-100.5515806,Chl,6.783333333,ug/l,"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",119,228,171,139,12,40,6,-0.103225806,0.812865497,-114.68,-12.00134629,-0.142857143,0.75,-121.08,-139.001462,474542.91,12,Texas-Gulf Region
78,308,5668,NWIS_320607000000000,8/24/2020,32.10215,-95.4563167,Chl,12.71428571,ug/l,"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",346,381,322,353,292,312,6,0.045925926,1.096273292,15.4,-291.9997273,-0.083926031,0.845144357,-79.16,-353.0004809,474542.91,12,Texas-Gulf Region
79,309,5667,NWIS_320607000000000,8/24/2020,32.10215,-95.4563167,Chl,27,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",346,381,322,353,292,312,6,0.045925926,1.096273292,15.4,-291.9997273,-0.083926031,0.845144357,-79.16,-353.0004809,474542.91,12,Texas-Gulf Region
80,312,5672,NWIS_320607000000000,10/13/2020,32.10215,-95.4563167,Chl,28,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",130,154,124,149,98,98,6,0.091575092,1.201612903,11.48,-97.99864689,-0.107913669,0.805194805,-33.6,-149.001571,474542.91,12,Texas-Gulf Region
81,313,5673,NWIS_320607000000000,10/13/2020,32.10215,-95.4563167,Chl,17.7375,ug/l,"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",130,154,124,149,98,98,6,0.091575092,1.201612903,11.48,-97.99864689,-0.107913669,0.805194805,-33.6,-149.001571,474542.91,12,Texas-Gulf Region
82,322,5689,NWIS_321400000000000,8/24/2020,32.23351667,-95.4767,Chl,56.5,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",328,400,300,383,251,270,6,0.121522694,1.276666667,57.52,-250.9992776,-0.142857143,0.75,-112.24,-383.0008333,474542.91,12,Texas-Gulf Region
83,323,5690,NWIS_321400000000000,8/24/2020,32.23351667,-95.4767,Chl,29.02222222,ug/l,"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",328,400,300,383,251,270,6,0.121522694,1.276666667,57.52,-250.9992776,-0.142857143,0.75,-112.24,-383.0008333,474542.91,12,Texas-Gulf Region
